id,Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
1,7/16/2023,ACH CREDIT C WEST BROA DIR DEP ON 07/15,ACH CREDIT C WEST BROA DIR DEP ON 07/15,87.94,credit,Paycheck,Adv Plus Banking - 6710,,
2,7/15/2023,WHOLE FOODS,WHOLE FOODS,48.87,debit,Groceries,American Express Gold Card,,
3,7/15/2023,ACE HARDWARE - OLD TOWN ACE HA,ACE HARDWARE - OLD TOWN ACE HA,8.47,debit,Home Improvement,American Express Gold Card,,
4,7/15/2023,ITUNES APPLE STORE,ITUNES APPLE STORE,12.99,debit,Electronics & Software,American Express Gold Card,,
5,7/14/2023,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,428.6,credit,Income,American Express Gold Card,,
6,7/14/2023,MICROSOFT EDIPAYMENT PPD ID: XXXXXX4442,MICROSOFT EDIPAYMENT PPD ID: XXXXXX4442,1652.24,credit,Paycheck,PREMIER PLUS CKG,,
7,7/14/2023,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,428.6,debit,Credit Card Payment,PREMIER PLUS CKG,,
8,7/14/2023,INTEREST PAYMENT,INTEREST PAYMENT,0.01,credit,Interest Income,PREMIER PLUS CKG,,
9,7/14/2023,VHC ARLINGTON HEALTH SYST,VHC ARLINGTON HEALTH SYST,7,debit,Parking,CREDIT CARD,,
10,7/14/2023,ARAMARK VA HOSP CENTER,ARAMARK VA HOSP CENTER,21.49,debit,Food & Dining,CREDIT CARD,,
11,7/14/2023,PAYPAL *GITHUB INC,PAYPAL *GITHUB INC,10,debit,Electronics & Software,CREDIT CARD,,
12,7/14/2023,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),180.3,credit,Investments,Health Savings Account,,
13,7/14/2023,CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),1000,credit,Investments,Health Savings Account,,
14,7/14/2023,VANG RUS 1000 VAL TR,VANG RUS 1000 VAL TR,920.83,credit,Investments,MICROSOFT 401K PLAN,,
15,7/14/2023,VANG RUS 1000 VAL TR,VANG RUS 1000 VAL TR,0,credit,Investments,MICROSOFT 401K PLAN,,
16,7/14/2023,VANG RUS 1000 GR TR,VANG RUS 1000 GR TR,3683.33,credit,Investments,MICROSOFT 401K PLAN,,
17,7/14/2023,VANG RUS 1000 GR TR,VANG RUS 1000 GR TR,0,credit,Investments,MICROSOFT 401K PLAN,,
18,7/13/2023,APPLE.COM/BILL,APPLE.COM/BILL,1.05,debit,Electronics & Software,CREDIT CARD,,
19,7/13/2023,UNITED      XXXXXXXXX0746,UNITED      XXXXXXXXX0746,45,debit,Air Travel,CREDIT CARD,,
20,7/12/2023,AMERICAN WATER E DES:BILLPAY    ID:AMERICAN WATER            INDN:SARAH REMMEY            CO ID:XXXXX00160 WEB,AMERICAN WATER E DES:BILLPAY    ID:AMERICAN WATER            INDN:SARAH REMMEY            CO ID:XXXXX00160 WEB,58.56,debit,Utilities,Adv Plus Banking - 6710,,
21,7/12/2023,VENMO            DES:PAYMENT    ID:XXXXX29682822             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX29682822             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,90,debit,Transfer,Adv Plus Banking - 6710,,
22,7/12/2023,OLD TOWN ACE HARDWARALEXANDRIA VA,OLD TOWN ACE HARDWARALEXANDRIA VA,68.82,debit,Home Improvement,American Express Gold Card,,
23,7/12/2023,OLD TOWN ACE HARDWARALEXANDRIA VA,OLD TOWN ACE HARDWARALEXANDRIA VA,74.19,debit,Home Improvement,American Express Gold Card,,
24,7/12/2023,UBER EATS help.uber.com CA,UBER EATS help.uber.com CA,41.27,debit,Food Delivery,American Express Gold Card,,
25,7/12/2023,STARBUCKS STORE X7904,STARBUCKS STORE X7904,4.16,debit,Coffee Shops,CREDIT CARD,,
26,7/12/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",3.95,debit,Transfer,SARAH IRA,,
27,7/11/2023,VENMO            DES:CASHOUT    ID:XXXXX11508526             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,VENMO            DES:CASHOUT    ID:XXXXX11508526             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,20,credit,Transfer,Adv Plus Banking - 6710,,
